,area,kita_spots,under6,diff,kids_per_spot,women_labor_prct
0,Charlbg.-Wilmersd.,12691.0,13567,876.0,1.0690252935150895,72.2
1,Friedrichsh.-Kreuzb.,15876.0,15097,-779.0,0.9509322247417485,80.1
2,Lichtenberg,16039.0,16108,69.0,1.004302013841262,77.1
3,Marzahn-Hellersd.,13570.0,14625,1055.0,1.0777450257921886,75.8
4,Mitte,20831.0,19305,-1526.0,0.9267437953050741,69.7
5,Neukölln,14833.0,17040,2207.0,1.1487898604463023,68.8
6,Pankow,24511.0,23246,-1265.0,0.9483905185426951,82.2
7,Reinickendorf,11213.0,13148,1935.0,1.172567555515919,69.5
8,Spandau,11289.0,12662,1373.0,1.1216228186730446,66.4
9,Steglitz-Zehlend.,13276.0,13363,87.0,1.0065531786682735,75.5
10,Tempelh.-Schöneb.,16238.0,16546,308.0,1.0189678531838897,74.0
11,Treptow-Köpenick,13200.0,13798,598.0,1.0453030303030304,81.0
